epoch,value,date_time
1581829200.0,2.0,2020-02-15 21:00:00-08:00
1581858000.0,2.0,2020-02-16 05:00:00-08:00
1581874200.0,2.5,2020-02-16 09:30:00-08:00
1581894000.0,3.0,2020-02-16 15:00:00-08:00
1581904800.0,1.0,2020-02-16 18:00:00-08:00
1581912000.0,1.0,2020-02-16 20:00:00-08:00
1581919200.0,1.0,2020-02-16 22:00:00-08:00
1581938100.0,2.0,2020-02-17 03:15:00-08:00
1581967800.0,2.5,2020-02-17 11:30:00-08:00
1581993000.0,2.5,2020-02-17 18:30:00-08:00
1582021800.0,2.0,2020-02-18 02:30:00-08:00
1582045200.0,2.5,2020-02-18 09:00:00-08:00
1582066800.0,2.5,2020-02-18 15:00:00-08:00
1582088400.0,1.0,2020-02-18 21:00:00-08:00
1582108200.0,2.0,2020-02-19 02:30:00-08:00
1582131600.0,2.5,2020-02-19 09:00:00-08:00
1582151400.0,2.5,2020-02-19 14:30:00-08:00
1582164000.0,2.0,2020-02-19 18:00:00-08:00
1582180200.0,0.5,2020-02-19 22:30:00-08:00
1582202700.0,2.0,2020-02-20 04:45:00-08:00
1582221000.0,2.5,2020-02-20 09:50:00-08:00
1582232400.0,1.0,2020-02-20 13:00:00-08:00
1582245000.0,2.0,2020-02-20 16:30:00-08:00
1582264800.0,1.0,2020-02-20 22:00:00-08:00
1582282800.0,2.0,2020-02-21 03:00:00-08:00
1582303800.0,2.5,2020-02-21 08:50:00-08:00
1582326600.0,2.5,2020-02-21 15:10:00-08:00
1582351200.0,2.0,2020-02-21 22:00:00-08:00
1582369200.0,2.0,2020-02-22 03:00:00-08:00
1582392600.0,2.5,2020-02-22 09:30:00-08:00
1582417800.0,2.5,2020-02-22 16:30:00-08:00
1582435800.0,2.0,2020-02-22 21:30:00-08:00
1582459200.0,2.0,2020-02-23 04:00:00-08:00
1582477200.0,2.5,2020-02-23 09:00:00-08:00
1582498800.0,2.5,2020-02-23 15:00:00-08:00
1582509600.0,2.5,2020-02-23 18:00:00-08:00
1582545600.0,2.0,2020-02-24 04:00:00-08:00
1582561800.0,2.5,2020-02-24 08:30:00-08:00
1582574400.0,3.0,2020-02-24 12:00:00-08:00
1582588800.0,3.0,2020-02-24 16:00:00-08:00
1582617540.0,1.0,2020-02-24 23:59:00-08:00
1582632000.0,1.0,2020-02-25 04:00:00-08:00
1582650000.0,2.0,2020-02-25 09:00:00-08:00
